Team	SPI	FIFA	ELO	Voros	Actual
Spain	2	2	2	2	1
Netherlands	4	4	3	3	2
Germany	6	6	5	6	3
Uruguay	9	13	12	11	4
Argentina	5	7	7	5	5
Brazil	1	1	1	1	6
Ghana	25	24	25	26	8
Paraguay	16	23	18	15	8
Japan	27	28	26	20	9
Chile	8	15	9	16	10
Portugal	7	3	10	9	11
USA	14	11	14	17	12
England	3	8	4	4	13
Mexico	15	14	8	10	14
South Korea	19	29	16	22	15
Slovakia	28	25	28	27	16
Cote d'Ivoire	13	21	19	14	17
Slovenia	23	20	27	28	18
Switzerland	24	19	20	25	19
South Africa	29	31	29	30	20
Australia	20	17	15	18	21
New Zealand	32	30	31	32	22
Serbia	10	12	13	13	23
Denmark	17	26	18	12	24
Italy	11	5	6	8	25
Greece	26	10	21	19	26
Nigeria	22	18	22	23	27
Algeria	30	22	30	29	28
France	12	9	11	7	29
Honduras	21	27	23	21	30
Cameroon	18	16	24	24	31
North Korea	31	32	32	31	32
